iter	Logloss
0	0.6543869446
1	0.6175844694
2	0.5882811344
3	0.5630895447
4	0.5368323084
5	0.5152616627
6	0.492853945
7	0.4741367527
8	0.4578899636
9	0.4412291393
10	0.4223548152
11	0.4094938965
12	0.3954839034
13	0.382317789
14	0.370884578
15	0.360105565
16	0.3495309377
17	0.3394478186
18	0.3306948306
19	0.3224044087
20	0.3143930054
21	0.3068307399
22	0.3001391205
23	0.2919759556
24	0.2861063101
25	0.2807029976
26	0.274787838
27	0.2692376041
28	0.2638698419
29	0.2603786089
30	0.2565780225
31	0.2525662903
32	0.2493534801
33	0.2457530603
34	0.2424414243
35	0.2392584771
36	0.2354924285
37	0.2317661276
38	0.2285252597
39	0.226149032
40	0.2231715882
41	0.220752076
42	0.2175437415
43	0.2154851811
44	0.2131123186
45	0.210862311
46	0.2082370429
47	0.2059341262
48	0.2042654605
49	0.2024657316
50	0.2004171449
51	0.1983308822
52	0.1968185714
53	0.1952315683
54	0.1929544316
55	0.1912835025
56	0.1895679308
57	0.188249902
58	0.1868445304
59	0.1852148828
60	0.1840062858
61	0.182881451
62	0.18165894
63	0.1803481777
64	0.1794338322
65	0.1781018279
66	0.1769331696
67	0.1756140444
68	0.1744420852
69	0.1733841218
70	0.1725670928
71	0.1715946644
72	0.1707000974
73	0.1698933016
74	0.1689199231
75	0.1679874006
76	0.1671444674
77	0.1662941674
78	0.1651143328
79	0.1643588912
80	0.1633419941
81	0.1627158698
82	0.1616522128
83	0.1607138674
84	0.1599215971
85	0.1590500491
86	0.1582811988
87	0.1570422956
88	0.1559213704
89	0.1548366149
90	0.153861306
91	0.1533057032
92	0.152591739
93	0.1519292142
94	0.1511677042
95	0.1504262065
96	0.1495021828
97	0.1488106432
98	0.148380513
99	0.1476639616
100	0.147082941
101	0.1461787894
102	0.1455709668
103	0.1446361453
104	0.1438241921
105	0.1433328371
106	0.1426015389
107	0.1418098193
108	0.1412366819
109	0.1401054507
110	0.139573076
111	0.1388163694
112	0.1379745123
113	0.1373677212
114	0.1368004283
115	0.1363287675
116	0.1360219929
117	0.135317385
118	0.134847064
119	0.1340296878
120	0.1335140128
121	0.1330453199
122	0.1323725007
123	0.1316384859
124	0.1309318328
125	0.1304710286
126	0.1301410288
127	0.129605394
128	0.1292396957
129	0.1284454522
130	0.1279550891
131	0.1273067825
132	0.1269134817
133	0.1266462104
134	0.1261890504
135	0.1256908949
136	0.1250970717
